0.00,0.00,0.00
0.25,0.00,0.00
0.50,0.00,0.00
0.75,0.00,0.00
1.00,0.00,0.00
0.00,0.11,0.00
0.25,0.11,0.00
0.50,0.11,0.00
0.75,0.11,0.00
1.00,0.11,0.00
0.00,0.22,0.00
0.25,0.22,0.00
0.50,0.22,0.00
0.75,0.22,0.00
1.00,0.22,0.00
0.00,0.33,0.00
0.25,0.33,0.00
0.50,0.33,0.00
0.75,0.33,0.00
1.00,0.33,0.00
0.00,0.44,0.00
0.25,0.44,0.00
0.50,0.44,0.00
0.75,0.44,0.00
1.00,0.44,0.00
0.00,0.56,0.00
0.25,0.56,0.00
0.50,0.56,0.00
0.75,0.56,0.00
1.00,0.56,0.00
0.00,0.67,0.00
0.25,0.67,0.00
0.50,0.67,0.00
0.75,0.67,0.00
1.00,0.67,0.00
0.00,0.78,0.00
0.25,0.78,0.00
0.50,0.78,0.00
0.75,0.78,0.00
1.00,0.78,0.00
0.00,0.89,0.00
0.25,0.89,0.00
0.50,0.89,0.00
0.75,0.89,0.00
1.00,0.89,0.00
0.00,1.00,0.00
0.25,1.00,0.00
0.50,1.00,0.00
0.75,1.00,0.00
1.00,1.00,0.00
0.13,-0.21,0.12
-0.13,0.21,-0.02
-0.34,-0.36,-0.11
-0.02,0.10,-0.10
-0.02,-0.21,0.10
-0.26,-0.19,-0.11
-0.11,-0.33,-0.34
-0.00,0.14,0.24
-0.18,0.10,-0.22
-0.09,0.07,0.14
